Axis	Dose
310.0	18.6
309.5	18.3
308.5	18.5
307.9	18.4
307.3	18.5
306.8	18.7
306.4	18.7
306.0	18.8
305.7	18.7
305.3	18.8
304.7	18.8
304.2	18.8
303.6	19.0
303.1	19.1
302.6	19.2
302.1	19.2
301.6	19.3
301.1	19.2
300.6	19.3
300.1	19.3
299.6	19.4
299.1	19.4
298.6	19.5
298.1	19.5
297.6	19.7
297.1	19.7
296.6	19.9
296.1	19.9
295.6	19.9
295.1	20.0
294.6	20.0
294.1	20.2
293.6	20.1
293.0	20.2
292.5	20.2
292.1	20.3
291.6	20.5
291.1	20.3
290.5	20.5
290.0	20.4
289.5	20.7
289.0	20.7
288.5	20.7
288.0	20.9
287.5	20.9
287.0	21.0
286.5	20.9
286.0	21.0
285.5	21.1
285.0	21.2
284.5	21.1
284.0	21.3
283.5	21.4
283.0	21.5
282.5	21.5
282.0	21.5
281.5	21.5
281.0	21.7
280.5	21.8
280.0	21.7
279.5	21.9
279.0	21.9
278.5	21.8
277.9	22.0
277.5	22.1
277.0	22.1
276.4	22.2
275.9	22.3
275.4	22.3
274.9	22.5
274.4	22.4
273.9	22.7
273.4	22.5
272.9	22.8
272.4	22.7
271.9	22.8
271.4	22.9
270.9	23.0
270.4	23.1
269.9	23.1
269.4	23.0
268.9	23.2
268.4	23.2
267.9	23.4
267.3	23.4
266.8	23.6
266.3	23.6
265.8	23.7
265.3	23.6
264.8	23.8
264.3	23.8
263.8	23.9
263.3	24.0
262.8	24.0
262.3	24.2
261.8	24.2
261.2	24.3
260.7	24.3
260.2	24.4
259.7	24.6
259.2	24.6
258.7	24.7
258.2	24.6
257.7	24.8
257.2	24.8
256.7	24.9
256.2	25.1
255.7	25.1
255.2	25.1
254.7	25.2
254.2	25.4
253.7	25.4
253.1	25.5
252.6	25.6
252.1	25.8
251.6	25.7
251.1	25.8
250.7	26.0
250.1	26.0
249.6	26.0
249.1	26.0
248.6	26.3
248.1	26.2
247.6	26.4
247.1	26.3
246.6	26.3
246.1	26.6
245.6	26.6
245.0	26.7
244.6	26.9
244.1	27.0
243.6	27.0
243.0	27.1
242.5	27.1
242.0	27.3
241.5	27.3
241.0	27.3
240.5	27.3
240.0	27.6
239.5	27.7
239.0	27.7
238.5	27.5
238.0	27.9
237.5	28.1
237.0	27.9
236.4	28.2
235.9	28.1
235.5	28.3
234.9	28.5
234.4	28.4
233.9	28.6
233.4	28.6
232.9	28.6
232.4	28.9
231.9	28.9
231.4	29.2
230.9	29.2
230.3	29.2
229.9	29.4
229.4	29.5
228.8	29.5
228.4	29.5
227.8	29.6
227.3	29.7
226.8	29.8
226.3	29.8
225.8	30.0
225.3	30.1
224.8	30.1
224.3	30.2
223.8	30.3
223.3	30.6
222.8	30.6
222.3	30.7
221.8	30.8
221.2	30.8
220.8	30.7
