Axis	Dose
0.5	87.0
1.5	87.8
2.5	89.0
3.5	90.1
4.5	90.9
5.5	91.6
6.5	92.1
7.5	92.7
8.5	93.2
9.5	93.8
10.5	94.1
11.5	94.6
12.5	95.1
13.5	95.5
14.5	95.9
15.5	96.4
16.5	96.9
17.5	97.3
18.5	97.7
19.5	98.2
20.5	98.4
21.5	98.8
22.5	99.2
23.5	99.5
24.5	99.7
25.5	99.7
26.5	99.9
27.5	100.0
28.5	99.9
29.5	99.5
30.5	99.0
31.5	98.5
32.5	97.7
33.5	96.8
34.5	95.6
35.5	94.1
36.5	92.4
37.5	90.6
38.5	88.4
39.5	85.9
40.5	83.2
41.5	80.3
42.5	76.8
43.5	73.6
44.5	69.7
45.5	65.6
46.5	61.2
47.5	56.9
48.5	52.0
49.5	47.4
50.5	42.8
51.5	38.1
52.5	33.4
53.5	28.9
54.5	24.8
55.5	20.9
56.5	17.5
57.5	14.3
58.5	11.6
59.5	9.1
60.5	7.1
61.5	5.6
62.5	4.4
63.5	3.5
64.5	2.9
65.5	2.5
66.5	2.2
67.5	2.0
68.5	1.9
69.5	1.8
70.5	1.8
71.5	1.8
72.5	1.8
73.5	1.8
74.5	1.7
75.5	1.7
76.5	1.7
77.5	1.7
78.5	1.8
79.5	1.8
80.5	1.7
81.5	1.7
82.5	1.7
83.5	1.7
84.5	1.7
85.5	1.7
86.5	1.7
87.5	1.7
88.5	1.7
89.5	1.7
90.5	1.7
91.5	1.6
92.5	1.6
93.5	1.7
94.5	1.7
95.5	1.7
96.5	1.6
97.5	1.6
98.5	1.6
99.5	1.6
100.5	1.6
101.5	1.6
102.5	1.6
103.5	1.5
104.5	1.5
105.5	1.5
106.5	1.5
107.5	1.5
108.5	1.5
109.5	1.5
110.5	1.5
111.5	1.4
112.5	1.5
113.5	1.4
114.5	1.4
115.5	1.4
116.5	1.4
117.5	1.4
118.5	1.4
119.5	1.4
120.5	1.4
121.5	1.4
122.5	1.3
123.5	1.3
124.5	1.3
125.5	1.3
126.5	1.3
127.5	1.3
128.5	1.3
129.5	1.3
130.5	1.3
131.5	1.3
132.5	1.2
133.5	1.2
134.5	1.1
135.5	1.2
136.5	1.2
137.5	1.1
138.5	1.2
139.5	1.2
140.5	1.2
141.5	1.2
142.5	1.1
143.5	1.1
144.5	1.1
145.5	1.2
146.5	1.2
147.5	1.2
148.5	1.2
149.5	1.1
150.5	1.1
151.5	1.1
152.5	1.1
153.5	1.1
154.5	1.1
155.5	1.1
156.5	1.1
157.5	1.1
158.5	1.1
159.5	1.0
