Axis	Dose
-114.5	0.8
-114.0	0.5
-113.3	0.5
-112.6	0.5
-112.1	0.6
-111.7	0.6
-111.2	0.5
-110.8	0.5
-110.3	0.6
-109.8	0.6
-109.3	0.6
-108.8	0.6
-108.3	0.6
-107.8	0.5
-107.2	0.5
-106.7	0.6
-106.2	0.5
-105.8	0.7
-105.2	0.6
-104.7	0.5
-104.2	0.6
-103.7	0.6
-103.2	0.6
-102.7	0.6
-102.2	0.7
-101.7	0.5
-101.2	0.7
-100.7	0.6
-100.2	0.5
-99.7	0.6
-99.2	0.6
-98.7	0.6
-98.2	0.5
-97.7	0.7
-97.2	0.6
-96.7	0.6
-96.2	0.6
-95.7	0.6
-95.2	0.6
-94.7	0.6
-94.2	0.6
-93.7	0.6
-93.2	0.7
-92.7	0.6
-92.1	0.5
-91.6	0.6
-91.1	0.6
-90.6	0.7
-90.2	0.6
-89.6	0.6
-89.1	0.6
-88.6	0.7
-88.1	0.7
-87.6	0.5
-87.1	0.7
-86.6	0.6
-86.1	0.7
-85.6	0.7
-85.1	0.6
-84.6	0.6
-84.1	0.7
-83.6	0.7
-83.1	0.7
-82.6	0.7
-82.1	0.7
-81.6	0.7
-81.1	0.7
-80.6	0.6
-80.1	0.8
-79.6	0.7
-79.1	0.8
-78.6	0.7
-78.1	0.6
-77.6	0.8
-77.1	0.7
-76.6	0.8
-76.1	0.7
-75.6	0.8
-75.1	0.7
-74.6	0.8
-74.1	0.8
-73.6	0.8
-73.1	0.7
-72.6	0.8
-72.0	0.8
-71.5	0.7
-71.0	0.9
-70.5	0.7
-70.0	0.8
-69.5	0.8
-69.0	0.9
-68.5	0.8
-68.0	0.8
-67.5	0.9
-67.0	0.8
-66.5	0.9
-66.0	0.9
-65.5	0.9
-65.0	0.9
-64.5	0.9
-64.0	0.9
-63.5	1.0
-62.9	0.9
-62.4	1.0
-61.9	1.0
-61.4	1.0
-60.9	1.0
-60.4	1.0
-59.9	1.0
-59.4	1.0
-58.9	1.0
-58.4	1.1
-57.9	1.1
-57.4	1.0
-56.9	1.1
-56.4	1.1
-55.9	1.1
-55.4	1.1
-54.9	1.2
-54.4	1.2
-53.9	1.2
-53.4	1.2
-52.9	1.2
-52.4	1.3
-51.9	1.3
-51.4	1.3
-50.9	1.3
-50.4	1.3
-49.9	1.4
-49.4	1.4
-48.9	1.4
-48.4	1.5
-47.9	1.5
-47.3	1.5
-46.8	1.5
-46.3	1.6
-45.8	1.6
-45.3	1.6
-44.8	1.7
-44.3	1.7
-43.8	1.7
-43.3	1.8
-42.8	1.9
-42.3	1.8
-41.8	1.9
-41.3	2.0
-40.8	2.0
-40.3	2.0
-39.8	2.1
-39.3	2.2
-38.8	2.3
-38.2	2.3
-37.7	2.5
-37.2	2.4
-36.7	2.6
-36.2	2.6
-35.7	2.8
-35.2	2.9
-34.7	2.9
-34.2	3.0
-33.7	3.2
-33.2	3.3
-32.7	3.5
-32.2	3.7
-31.7	3.9
-31.2	4.2
-30.7	4.4
-30.2	4.8
-29.7	5.4
-29.2	5.9
-28.7	6.6
-28.2	7.5
-27.7	8.8
-27.2	10.4
-26.7	12.4
-26.2	15.7
-25.7	20.2
-25.2	26.2
-24.7	33.5
-24.2	41.7
-23.7	50.1
-23.2	59.4
-22.7	68.2
-22.2	76.2
-21.7	83.3
-21.2	89.4
-20.7	93.7
-20.2	97.0
-19.7	99.0
-19.2	100.8
-18.7	101.8
-18.2	103.3
-17.7	103.8
-17.2	104.4
-16.7	104.7
-16.2	105.0
-15.7	105.3
-15.1	105.7
-14.6	105.6
-14.2	105.8
-13.6	106.2
-13.1	106.2
-12.6	105.9
-12.2	106.3
-11.6	106.2
-11.1	106.4
-10.6	106.4
-10.1	106.5
-9.6	106.7
-9.1	106.9
-8.6	106.4
-8.1	106.7
-7.6	106.3
-7.1	106.8
-6.6	106.8
-6.1	106.6
-5.6	106.8
-5.1	106.5
-4.6	106.7
-4.1	106.8
-3.6	106.4
-3.1	106.7
-2.6	106.6
-2.1	106.5
-1.6	106.4
-1.1	106.5
-0.6	106.9
-0.1	106.5
0.4	106.8
0.9	106.6
1.4	106.3
1.9	106.5
2.4	106.6
2.9	106.9
3.5	106.7
3.9	106.9
