Axis	Dose
-63.5	1.2
-63.3	1.2
-63.1	1.2
-62.9	1.2
-62.7	1.3
-62.5	1.3
-62.3	1.3
-62.1	1.4
-61.9	1.4
-61.7	1.4
-61.5	1.5
-61.3	1.5
-61.1	1.5
-60.9	1.6
-60.7	1.6
-60.5	1.6
-60.3	1.6
-60.1	1.7
-59.9	1.7
-59.7	1.7
-59.5	1.8
-59.3	1.8
-59.1	1.8
-58.9	1.9
-58.7	1.9
-58.5	2.0
-58.3	2.0
-58.1	2.1
-57.9	2.2
-57.7	2.3
-57.5	2.3
-57.3	2.4
-57.1	2.5
-56.9	2.6
-56.7	2.6
-56.5	2.7
-56.3	2.8
-56.1	2.9
-55.9	3.0
-55.7	3.0
-55.5	3.1
-55.3	3.2
-55.1	3.3
-54.9	3.3
-54.7	3.4
-54.5	3.5
-54.3	3.7
-54.1	3.8
-53.9	3.9
-53.7	4.0
-53.5	4.2
-53.3	4.3
-53.1	4.5
-52.9	4.6
-52.7	4.7
-52.5	4.9
-52.3	5.0
-52.1	5.2
-51.9	5.3
-51.7	5.5
-51.5	5.7
-51.3	5.8
-51.1	6.0
-50.9	6.1
-50.7	6.2
-50.5	6.4
-50.3	6.6
-50.1	6.8
-49.9	7.0
-49.7	7.2
-49.5	7.5
-49.3	7.7
-49.1	8.0
-48.9	8.2
-48.7	8.4
-48.5	8.7
-48.3	8.9
-48.1	9.2
-47.9	9.4
-47.7	9.7
-47.5	10.0
-47.3	10.3
-47.1	10.6
-46.9	10.8
-46.7	11.1
-46.5	11.4
-46.3	11.7
-46.1	12.0
-45.9	12.3
-45.7	12.6
-45.5	12.9
-45.3	13.2
-45.1	13.6
-44.9	14.0
-44.7	14.3
-44.5	14.7
-44.3	15.1
-44.1	15.5
-43.9	15.9
-43.7	16.2
-43.5	16.6
-43.3	17.0
-43.1	17.4
-42.9	17.8
-42.7	18.2
-42.5	18.6
-42.3	19.0
-42.1	19.4
-41.9	19.9
-41.7	20.3
-41.5	20.7
-41.3	21.2
-41.1	21.6
-40.9	22.1
-40.7	22.6
